CDM project reference number,Unique project identifier (traceable with Google),Registration project title,Type of CDM project: PA/PoA,Project classification,Sectoral scope number(s),Methodologies used at registration,Project type (UNEP DTU),Project subtype (UNEP DTU),DOE,Start of validation,PA:Initial registration request/PoA:First CPA request,PA:Lastest registration request/PoA:Lastest CPA request,"Date of EB decision (see EB59 Annex 12, §25)",Registered or rejected,Simplified project status,Website project status,Type of crediting period,Start of first crediting period,End of first crediting period, Amount Of Reductions (PDD ex-ante) per year in CP1 (PoA based on the sum of curr ,Status of the second CP request,Second crediting period: renew date,Second crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP2 ,Start of Second crediting period,End of second crediting period,Status of the third CP request,Third crediting period: renew date,Third crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP3 ,Start of third crediting period,End of third crediting period,List of host countries (ISO 2),UNFCCC region,LDC country,Country Region,SID country,Country subregion,First issuance,Lastest issuance, Total CERs issued , Count of issuances of CER , Count of issuances of CER for KP1 , Total CERs issued for KP1 , Count of issuances of CER for KP2 , Total CERs issued for KP2 , Installed capacity (MW elec/thermal) ,Kind of additional revenue, Total capital investment (USD) , Total O&M costs (USD/year) , Additional revenue (USD) , Estimated IRR benchmark , Estimated IRR excluding CERs , Estimated IRR including CERs ,Issuance (Para 218)/ Registration (Para 219),Last information provided on para. 218 and 219 of the PCP,Date of last information provided on Para. 218 and 219 of the PCP,Number of CPAs per host party (PoA),Amount of reduction per host party (PoA),Crediting type of the CPAs,Chronological number of registered CDM activity by country,Last communication with the Secretariat,Projects which cannot be renewed,Reporting date
1145,6DUGPKJANI7IXRKS535DENNWFS1MUY,8.75MW Bundle Wind Power Project in Maharashtra,PA,SMALL,1,AMS-I.D. 10.0,Wind,Wind,SGS United Kingdom Limited (SGS),14-02-07,29-05-07,29-05-07,29-07-07,29-07-07,End of crediting period,Registered,Fixed,29-07-07,28-07-17,"17,063",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,05-01-12,24-08-22,"107,859",3,2,"56,362",1,"51,497",8.75,None,"10,539,889",,,11.4,11.06,11.99,,,,,,,IN(268),2022m8,No,10-Oct-24
1149,RAMPUY61QF9SUTH1RCIG72TJ97F7Q0,10MW Waste Heat Recovery based Captive Power Project at Vikash Metal and Power Limited,PA,LARGE,1,ACM0004 2.0,EE own generation,Iron & steel heat,SGS United Kingdom Limited (SGS),19-08-06,31-05-07,31-05-07,14-09-07,14-09-07,End of crediting period,Registered,Renewable,14-09-07,13-09-14,"55,131",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,10,None,,,,,,,,,,,,,IN(278),2007m9,Yes,10-Oct-24
1151,YIC1YIT893D8B1PMDNLHT0OEO8ZQSO,"KSPCL Waste Heat to Power project, India",PA,LARGE,1,ACM0004 2.0,EE own generation,Iron & steel heat,SGS United Kingdom Limited (SGS),03-02-07,01-06-07,01-06-07,03-10-07,03-10-07,End of crediting period,Registered,Fixed,31-12-07,30-12-17,"42,910",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,06-01-09,03-11-23,"287,616",6,4,"74,661",2,"212,955",10,Savings electricity,"10,496,392","367,374","2,605,415",,,,,,,,,,IN(283),2023m11,No,10-Oct-24
1166,3KTKZVNJ1N859T3S5F0KQ711Z5QXZX,Bundled wind energy power projects (2004 policy) in Rajasthan,PA,LARGE,1,ACM0002 6.0,Wind,Wind,SGS United Kingdom Limited (SGS),21-11-06,13-06-07,13-06-07,17-11-08,30-10-08,End of crediting period,Registered,Fixed,30-10-08,29-10-18,"41,766",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,08-04-11,07-02-18,"219,073",6,5,"117,147",2,"101,926",24.8,Sales electricity,"25,757,079","524,544","3,866,775",13.45,10.85,11.63,,,,,,,IN(368),2018m2,No,10-Oct-24
1167,IJXWYUAT4GM7MSB12GSSOSQ4468WFK,Bundled wind energy power projects (2003 policy) in Rajasthan,PA,LARGE,1,ACM0002 6.0,Wind,Wind,SGS United Kingdom Limited (SGS),21-11-06,13-06-07,13-06-07,04-07-11,17-05-11,End of crediting period,Registered,Fixed,17-05-11,16-05-21,"51,517",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,02-11-12,12-10-21,"257,139",7,3,"60,198",5,"196,941",30.59,None,"28,030,850",,,,12,13.4,Issuance Process,Waiting for clarification,19-05-21,,,,IN(704),2021m10,No,10-Oct-24
1168,ARMZOGH4ACGZMU5X0GP9GHA4YVGHYC,Enercon Wind Farm (Hindustan) Ltd in Rajasthan,PA,LARGE,1,ACM0002 6.0,Wind,Wind,SGS United Kingdom Limited (SGS),21-11-06,13-06-07,13-06-07,31-03-10,15-03-10,End of crediting period,Registered,Fixed,15-03-10,14-03-20,"101,047",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,26-01-12,27-07-22,"648,680",9,5,"220,613",5,"428,067",60,Sales electricity,"64,105,886","1,305,327","9,666,463",18.7,11.9,14.6,,,,,,,IN(495),2022m7,No,10-Oct-24
1169,RNQZOQCVSU5FR5IIVDEEY7E6QQ77MD,GIPPL Waste Heat based 11.5 MW Captive Power Project,PA,LARGE,1,ACM0004 2.0,EE own generation,Iron & steel heat,SGS United Kingdom Limited (SGS),03-01-07,13-06-07,13-06-07,15-01-08,11-01-08,End of crediting period,Registered,Fixed,15-03-08,14-03-18,"54,579",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,11.5,Savings electricity,"14,492,689","734,457","2,986,941",16,6.4,9.6,,,,,,,IN(305),2024m1,No,10-Oct-24
1175,F9Q4HREWEWBRC4JBYD0P8TNTVD8WDW,"9.8 MW Renewable Energy Generation for the grid at South Asian Agro Industries Limited in Raipur District, Chattisgarh.",PA,SMALL,1,AMS-I.D. 10.0,Biomass Energy,Agricultural residues: other kinds,Det Norske Veritas- CUK,24-11-06,15-06-07,15-06-07,08-02-08,01-02-08,End of crediting period,Registered,Fixed,01-02-08,31-01-18,"36,867",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,9.8,Sales electricity,"8,663,131","2,846,978","3,593,636",14.37,7.36,13.12,Issuance Process,The verification contract has been terminated,13-10-14,,,,IN(310),2014m10,No,10-Oct-24
1180,XLSO6SCI13JTL2PB6NP25NZ8M7FHOM,BHL Thanabhawan Project,PA,LARGE,1,ACM0002 6.0; ACM0006 4.0,Biomass Energy,Bagasse power,Det Norske Veritas- CUK,23-09-06,18-06-07,18-06-07,05-05-08,04-05-08,End of crediting period,Registered,Fixed,04-05-08,03-05-18,"29,772",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,13,None,,,,,,,Issuance Process,Corrective actions without response,13-04-23,,,,IN(339),2023m4,No,10-Oct-24
1181,XD824EA1DPOYHLX3ROLMGOTKHV7TOX,"6.0 MW Biomass based cogeneration power plant of Rama Paper Mills Limited, Kiratpur, Uttar Pradesh.",PA,SMALL,1,AMS-I.D. 10.0,Biomass Energy,Bagasse power,SGS United Kingdom Limited (SGS),08-09-06,18-06-07,18-06-07,04-02-08,01-02-08,End of crediting period,Registered,Renewable,01-02-08,31-01-15,"24,640",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,13-08-10,20-07-12,"83,616",3,3,"83,616",, -   ,6,Savings other,"5,816,606","2,212,979","3,121,761",16,10.1,15.9,Issuance Process,Corrective actions without response,13-04-23,,,,IN(314),2023m4,Yes,10-Oct-24
1187,74T75V7YW56U727G7VLWU1OIMRVQW9,Bundle of 100 village biomass gasifier based power plants totalling 5.15 MW for Decentralised Energy Systems India Pvt. Ltd. in Bihar,PA,SMALL,1,AMS-I.A. 9.0,Biomass Energy,Gasification of biomass,Det Norske Veritas- CUK,24-05-06,20-06-07,21-11-07,28-12-07,22-12-07,End of crediting period,Registered,Fixed,22-12-07,21-12-17,"43,196",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,5.15,None,,,,,,,,,,,,,IN(301),2007m12,No,10-Oct-24
1188,7SKJTZUHP0QAGA777727EZCSRKZPD4,"Greenhouse gas (GHG) reduction by implementing energy efficient plough share mixer (PSM) technology in soap manufacturing at Hindustan Lever Limited (HLL), India",PA,SMALL,3,AMS-II.C. 8.0,EE Industry,Chemicals,Det Norske Veritas- CUK,22-04-07,20-06-07,20-06-07,31-08-07,31-08-07,End of crediting period,Registered,Fixed,31-08-07,30-08-17,"14,692",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,Issuance Process,The verification contract has been terminated,13-10-14,,,,IN(271),2014m10,No,10-Oct-24
1196,BBWGNDX2PYQ7X7MSCYZT2DR56L4GJB,10 MW biomass based renewable energy generation for the grid in Amaravathi District of Maharashtra,PA,SMALL,1,AMS-I.D. 10.0,Biomass Energy,Agricultural residues: other kinds,Det Norske Veritas- CUK,31-10-06,20-06-07,20-06-07,08-09-07,08-09-07,End of crediting period,Registered,Fixed,01-01-08,31-12-17,"43,345",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,10,Sales electricity,"10,189,536","2,815,571","4,781,610",14.76,11.49,16.79,,,,,,,IN(274),2007m9,No,10-Oct-24
1199,SXTHZBUP2PW56YMJBLFFRYNHWTL05S,"9.8 MW Biomass Based Power Plant at Lahari Power & Steels Limited in Champa-Janjgir District, Chattisgarh",PA,SMALL,1,AMS-I.D. 10.0,Biomass Energy,Agricultural residues: other kinds,Det Norske Veritas- CUK,22-11-06,20-06-07,20-06-07,03-09-07,03-09-07,End of crediting period,Registered,Fixed,03-09-07,02-09-17,"37,947",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,29-11-13,29-11-13,"42,464",1,1,"42,464",, -   ,9.8,Sales electricity,"9,744,622","490,270","3,721,510",14.32,10.23,15.18,,,,,,,IN(273),2013m11,No,10-Oct-24
1203,PEFFB33650CZE4DYYCKY2YHR5PPGKK,"10 MW Renewable Energy Project for a Grid at Taraila, Himachal Pradesh.",PA,SMALL,1,AMS-I.D. 10.0,Hydro,Run of river,Det Norske Veritas- CUK,31-01-06,21-06-07,21-06-07,13-09-07,13-09-07,End of crediting period,Registered,Fixed,02-03-09,01-03-19,"36,031",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,13-03-12,13-03-12,"54,962",1,1,"54,962",, -   ,10,Sales electricity,"11,856,273","578,432","2,866,622",16.92,13.46,,,,,,,,IN(276),2023m10,No,10-Oct-24
1216,X1B8743FYJ247SYBY670GJJV9U0SQN,"2.5 MW BEL grid-connected wind power project at Davanagere district, Karnataka, India",PA,SMALL,1,AMS-I.D. 10.0,Wind,Wind,Det Norske Veritas- CUK,10-03-07,25-06-07,25-06-07,21-12-07,05-11-07,End of crediting period,Registered,Fixed,05-11-07,04-11-17,"5,360",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,19-12-11,14-06-13,"15,856",2,2,"15,856",, -   ,2.5,None,"3,374,307",,,,,,,,,,,,IN(290),2013m6,No,10-Oct-24
1220,S75HP6G71L6T4U69H6WPXUEWFI2I4C,"Flare gas recovery project at Uran plant, Oil and Natural Gas Corporation (ONGC) Limited",PA,LARGE,10; 5,AM0037 1.1,Fugitive,Oil and gas processing flaring,Det Norske Veritas- CUK,21-02-07,05-07-07,05-07-07,21-12-07,14-12-07,End of crediting period,Registered,Fixed,14-12-07,13-12-17,"97,740",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,27-03-15,27-03-15,"165,375",1,1,"165,375",, -   ,,None,,,,,,,Issuance Process,Corrective actions without response,17-12-21,,,,IN(300),2021m12,No,10-Oct-24
1221,WORS9B34I450D3Q3SGS5FUXMO6ICEF,"Biomass based renewable energy project in a Solvent Extraction Plant, India",PA,SMALL,1,AMS-I.C. 9.0,Biomass Energy,Agricultural residues: other kinds,Bureau Veritas Certification Holding SAS (BVCH),11-07-06,28-06-07,28-06-07,19-10-07,19-10-07,End of crediting period,Registered,Fixed,19-10-07,18-10-17,"25,140",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,05-01-12,05-01-12,"38,378",1,1,"38,378",, -   ,1.2,None,"1,470,000",,,,,,,,,,,,IN(284),2022m11,No,10-Oct-24
1233,P85KPKTHXAXVM7A5BEGKD62ZJ0UP9P,“6 MW bagasse based cogeneration plant for electricity generation for grid supply at Mawana Sugars Limited (MSL) at Mawana in Uttar Pradesh”.,PA,LARGE,1,ACM0006 4.0,Biomass Energy,Bagasse power,RWTÜV GmbH,13-09-06,06-07-07,06-07-07,19-11-08,14-08-08,End of crediting period,Registered,Fixed,14-08-08,13-08-18,"16,544",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,6,Sales electricity,"5,639,267","203,014","1,967,653",16,13.33,15.75,,,,,,,IN(359),2008m8,No,10-Oct-24
1236,6SWAELBL6JQ0FHJOHCFAPRY4B5IBZ0,Eco Friendly Electricity Export to Grid,PA,SMALL,1,AMS-I.D. 11.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),02-12-06,07-08-07,07-08-07,22-09-07,22-09-07,End of crediting period,Registered,Fixed,22-09-07,21-09-17,"19,269",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,16-07-09,11-04-12,"58,604",4,4,"58,604",, -   ,8.75,None,"10,315,739",,,9.19,8.79,10.42,,,,,,,IN(281),2012m4,No,10-Oct-24
1239,1R81G7FSB4VTINH0IPQUB9I1D6EPVD,1.25 MW biomass based captive power plant by UP Asbestos Limited at Lucknow,PA,SMALL,1,AMS-I.C. 9.0,Biomass Energy,Agricultural residues: rice husk,Bureau Veritas Certification Holding SAS (BVCH),09-02-07,06-08-07,06-08-07,22-09-07,22-09-07,End of crediting period,Registered,Renewable,22-09-07,21-09-14,"6,225",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,1.25,None,"1,115,932",,,14,9,20,Issuance Process,The verification contract has been terminated,18-10-15,,,,IN(282),2015m10,Yes,10-Oct-24
1251,AEGBLWWLF85TPULVE7MY3RQNJKQRXJ,"“Neora Hydro Limited (NHL)” at Sakam Basti village, Darjeeling district, West Bengal,India",PA,SMALL,1,AMS-I.D. 11.0,Hydro,Run of river,SGS United Kingdom Limited (SGS),03-02-07,24-07-07,24-07-07,09-09-07,09-09-07,End of crediting period,Registered,Fixed,09-09-07,08-09-17,"12,810",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,12-01-11,12-01-11,"7,666",1,1,"7,666",, -   ,3,None,"5,570,000",,,,,,,,,,,,IN(275),2011m1,No,10-Oct-24
1253,AW6F3Y5Y972508VQOO9T6MVAJ4S5VH,"Baragran Hydro Electric Project, 3.0 MW (being expanded to 4.9 MW)",PA,SMALL,1,AMS-I.D. 11.0,Hydro,Run of river,SGS United Kingdom Limited (SGS),09-01-07,01-08-07,01-08-07,17-11-08,29-10-08,Registered with issuances,Registered,Renewable,29-10-08,28-10-15,"17,802",Renewed,08-07-16,08-07-16,"25,967.00",29-10-15,28-10-22,Renewed,08-07-23,,"25,739.00",29-10-22,28-10-29,IN,"ASP,NAI",No,Asia,No,Southern Asia,14-01-11,15-12-21,"285,756",11,4,"92,930",7,"192,826",1.9,Sales electricity,"5,496,925",,"892,586",15.69,13,21.51,,,,,,,IN(367),2021m12,No,10-Oct-24
1254,GU47FOITYTV5704RLN2KKQ8Q8O57QV,The TIMARPUR-OKHLA Waste Management Company Pvt Ltd's (TOWMCL) integrated waste to energy project in Delhi,PA,LARGE,13,AM0025 6.0,Landfill gas,Integrated solid waste management,SGS United Kingdom Limited (SGS),08-02-07,03-08-07,03-08-07,10-11-07,10-11-07,End of crediting period,Registered,Fixed,30-03-11,29-03-21,"262,791",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,10-07-15,30-09-21,"622,785",6,2,"45,124",5,"577,661",16,None,,,,,,,Issuance Process,Waiting for clarification,27-12-21,,,,IN(291),2021m12,No,10-Oct-24
1257,YRJVFGTI8P8KWHLV1GSW6A93OBRBF9,Power capacity expansion project at Dwarikesh Puram,PA,LARGE,1,ACM0006 5.0,Biomass Energy,Bagasse power,TÜV SÜD South Asia Private Limited (TÜV SÜD),05-06-07,24-07-07,24-07-07,17-12-07,30-11-07,End of crediting period,Registered,Fixed,30-11-07,29-11-17,"41,284",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,05-04-13,12-04-13,"85,603",4,4,"85,603",, -   ,24,None,"4,660,040",,,,,,,,,,,,IN(296),2013m4,No,10-Oct-24
1259,4GSTDDCKD0IL1JLUKRI2ZNE1V7P55B,Enercon Wind Farm (Hindustan) Ltd in Karnataka,PA,LARGE,1,ACM0002 6.0,Wind,Wind,Det Norske Veritas- CUK,01-12-06,25-07-07,25-07-07,18-11-08,27-10-08,End of crediting period,Registered,Fixed,27-10-08,26-10-18,"148,858",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,21-10-11,22-07-22,"998,550",9,5,"437,485",5,"561,065",68.8,Sales electricity,"73,524,607","1,496,856","9,248,820",12.13,11.7,16.5,,,,,,,IN(366),2022m7,No,10-Oct-24
1260,3ACAFIFBKWK4JC1KDWZN4YTQQCATAA,9 MW Renewable Energy Grid Connected Biomass Power Project,PA,SMALL,1,AMS-I.D. 10.0,Biomass Energy,Agricultural residues: other kinds,SGS United Kingdom Limited (SGS),08-03-07,25-07-07,25-07-07,14-09-07,14-09-07,End of crediting period,Registered,Renewable,14-09-07,13-09-14,"48,319",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,16-04-13,24-03-14,"84,409",2,2,"84,409",, -   ,9,None,,,,,,,Registration Process,"Fully implemented, but not operating",01-07-18,,,,IN(279),2018m7,Yes,10-Oct-24
1266,YNS09NDX3KWT7NU6FX68QJ7N1W2HVO,"20MW Waste gas based captive power project based at Kharagpur, West Bengal",PA,LARGE,1,ACM0004 2.0,EE own generation,Iron & steel heat,SGS United Kingdom Limited (SGS),06-12-06,26-07-07,26-07-07,18-04-08,22-01-08,End of crediting period,Registered,Renewable,01-01-09,31-12-15,"114,996",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,20,None,,,,,,,,,,,,,IN(306),2008m1,Yes,10-Oct-24
1268,IC6SKGU05HR3IQEOZKGXTWE2OH7AS1,Tungabhadra wind power project in Karnataka,PA,LARGE,1,ACM0002 6.0,Wind,Wind,Det Norske Veritas- CUK,01-12-06,03-08-07,03-08-07,12-11-08,27-10-08,End of crediting period,Registered,Fixed,27-10-08,26-10-18,"49,331",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,20-12-11,02-04-24,"435,991",6,4,"203,900",3,"232,091",22.8,Sales electricity,"25,841,550","526,125","3,179,399",13.15,10.9,15.44,,,,,,,IN(365),2024m4,No,10-Oct-24
1272,RQTAM5TQWM3L4MOD4671KO1PGSKIHY,"Effective utilization of waste heat by installing vacuum pre-concentrator in urea section at Indo Gulf Fertilisers (A Unit of Aditya Birla Group), Jagdishpur.",PA,LARGE,3,AM0018 1.1,EE Industry,Chemicals,TÜV SÜD South Asia Private Limited (TÜV SÜD),02-09-06,08-08-07,08-08-07,04-02-08,01-02-08,End of crediting period,Registered,Fixed,01-02-08,31-01-18,"32,800",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,Issuance Process,The verification contract has been terminated,13-10-14,,,,IN(308),2014m10,No,10-Oct-24
1273,NBSDN2OD06SDOL41MENW8UA51OP9EW,"Someshwara small hydropower project (24.75 MW) in Karnataka, India",PA,LARGE,1,ACM0002 6.0,Hydro,Run of river,Det Norske Veritas- CUK,04-10-06,03-08-07,03-08-07,30-05-08,27-05-08,End of crediting period,Registered,Fixed,27-05-09,26-05-19,"70,144",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,03-06-22,03-06-22,"176,159",1,, -   ,1,"176,159",24.75,Sales electricity,"20,389,289","1,923,056","5,023,802",17.11,14.63,18.19,,,,,,,IN(346),2022m6,No,10-Oct-24
1280,TW33GW1HP4PLQIRSBF9AQ31LQZK9UX,"2.2 MW hydropower plant in Birsinghpur, Madhya Pradesh of Ascent Hydro Projects Limited (AHPL)",PA,SMALL,1,AMS-I.D. 11.0,Hydro,Run of river,Bureau Veritas Certification Holding SAS (BVCH),28-06-06,13-08-07,13-08-07,25-11-07,25-11-07,Registered with issuances,Registered,Renewable,25-11-07,24-11-14,"13,582",Renewed,15-06-15,15-06-15,"14,255.00",15-06-15,24-11-21,Renewed,04-02-23,,"12,980.00",25-11-21,24-11-28,IN,"ASP,NAI",No,Asia,No,Southern Asia,27-12-11,04-05-23,"157,579",8,3,"66,692",5,"90,887",2.2,None,"3,780,000",,,,,,,,,,,,IN(294),2023m5,No,10-Oct-24
1286,SUS27DV38HTOVPIP0IFV3N670OCPZT,Enercon Wind Farms in Karnataka Bundled Project - 73.60 MW,PA,LARGE,1,ACM0002 6.0,Wind,Wind,SGS United Kingdom Limited (SGS),28-11-06,08-08-07,08-08-07,28-12-10,01-07-10,End of crediting period,Registered,Fixed,01-07-10,30-06-20,"159,244",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,11-01-13,27-05-22,"1,274,918",10,4,"389,696",7,"885,222",73.6,None,"84,261,264",,,16.41,11.39,,,,,,,,IN(517),2022m5,No,10-Oct-24
1287,DDZNQDBEC2E3F6EO72H8U5BRJB3DB7,Non-recovery type coke oven exhaust gas heat recovery power project at Mundra,PA,LARGE,1,ACM0004 2.0,EE own generation,Coke oven gas,Bureau Veritas Certification Holding SAS (BVCH),21-10-06,10-08-07,10-08-07,02-11-07,02-11-07,End of crediting period,Registered,Fixed,15-08-08,14-08-18,"70,090",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,18-02-10,25-04-13,"268,048",6,6,"268,048",, -   ,12,None,,,,,,,,,,,,,IN(289),2013m4,No,10-Oct-24
1288,DHX7F9F99KKAFI11A8RWXMN2IU33T2,Nava Bharat RE Bagasse Project,PA,SMALL,1,AMS-I.D. 10.0,Biomass Energy,Bagasse power,SGS United Kingdom Limited (SGS),22-02-07,13-08-07,13-08-07,19-06-08,17-06-08,End of crediting period,Registered,Renewable,17-06-08,16-06-15,"15,672",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,26-04-11,19-04-13,"29,998",2,2,"29,998",, -   ,9,Sales electricity,"4,428,628","585,961","1,109,708",12.75,10.94,15.67,,,,,,,IN(350),2013m4,Yes,10-Oct-24
1289,9D8XIF9P0OBEI80XTMGI766K990I00,"Fuel switchover from higher carbon intensive fuels to Natural Gas (NG) at Indian Farmers Fertiliser Cooperative Ltd (IFFCO) in Phulpur Village, Allahabad, Uttar Pradesh by M/s Indian Farmers Fertiliser Cooperative Ltd (IFFCO)",PA,LARGE,1; 4,ACM0009 3.2,Fossil fuel switch,Oil to natural gas,Det Norske Veritas- CUK,06-01-07,14-08-07,14-08-07,19-05-08,31-03-08,End of crediting period,Registered,Fixed,31-03-08,30-03-18,"186,637",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,17-07-09,08-08-24,"1,088,538",7,7,"517,607",1,"570,931",,Savings other,"5,098,473","29,982","19,401",12,,,,,,,,,IN(328),2024m8,No,10-Oct-24
1291,MH9SPL9SLQ3PLRD9E7VA3OQPA6HKPH,Enercon Wind Farms in Karnataka Bundled Project –  30.40 MW,PA,LARGE,1,ACM0002 6.0,Wind,Wind,SGS United Kingdom Limited (SGS),28-11-06,14-08-07,14-08-07,23-03-10,18-03-10,End of crediting period,Registered,Fixed,18-03-10,17-03-20,"65,774",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,09-03-12,30-06-22,"456,943",8,4,"154,853",5,"302,090",30.4,None,"34,803,568",,,17.75,11.56,15.07,,,,,,,IN(497),2022m6,No,10-Oct-24
1294,HRIWZ7ACWEETZIPCYW7248LG1XZRV3,NSSM – Narkatiaganj Biomass Power Project,PA,SMALL,1,AMS-I.D. 10.0,Biomass Energy,Bagasse power,SGS United Kingdom Limited (SGS),14-02-07,16-08-07,16-08-07,22-01-08,08-01-08,End of crediting period,Registered,Renewable,08-01-08,07-01-15,"13,102",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,17-12-12,17-12-12,"20,379",1,1,"20,379",, -   ,13,None,,,,,,,,,,,,,IN(304),2012m12,Yes,10-Oct-24
1295,QB9QUNVIYV2SVLNPIVMOQNRE99WQ20,10 MW biomass based power project of Ind Power limited,PA,SMALL,1,AMS-I.D. 11.0,Biomass Energy,Agricultural residues: rice husk,SGS United Kingdom Limited (SGS),21-12-06,17-08-07,17-08-07,26-11-07,26-11-07,End of crediting period,Registered,Fixed,26-11-07,25-11-17,"34,129",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,19-03-12,19-03-12,"46,282",1,1,"46,282",, -   ,10,Savings and Sales of electricity,"7,175,886","188,094","4,742,114",14,9.9,18.74,,,,,,,IN(295),2012m3,No,10-Oct-24
1296,2X8GO1TRVOYYXHR3CL0WL3C016ARP0,"""Waste Heat Recovery project"" at Saraikela, Kharsavan, Jharkhand by M/s Kohinoor Steel Private Limited",PA,LARGE,1,ACM0004 2.0,EE own generation,Iron & steel heat,SGS United Kingdom Limited (SGS),08-02-07,22-08-07,22-08-07,30-05-08,26-05-08,End of crediting period,Registered,Renewable,26-05-08,25-05-15,"56,176",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,10,None,,,,,,,Issuance Process,Corrective actions without response,13-04-23,,,,IN(343),2023m4,Yes,10-Oct-24
1299,OXVWZAF5DIIKOJYLAKJC48EY8HWMFY,Enercon Wind Farms in Karnataka Bundled Project – 33 MW,PA,LARGE,1,ACM0002 6.0,Wind,Wind,SGS United Kingdom Limited (SGS),28-11-06,21-08-07,21-08-07,28-12-10,31-08-10,End of crediting period,Registered,Fixed,31-08-10,30-08-20,"71,400",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,27-02-12,06-05-22,"640,092",9,3,"165,710",7,"474,382",33,None,"674,861",,,16.41,9.98,11.55,,,,,,,IN(530),2022m5,No,10-Oct-24
