CDM project reference number,Unique project identifier (traceable with Google),Registration project title,Type of CDM project: PA/PoA,Project classification,Sectoral scope number(s),Methodologies used at registration,Project type (UNEP DTU),Project subtype (UNEP DTU),DOE,Start of validation,PA:Initial registration request/PoA:First CPA request,PA:Lastest registration request/PoA:Lastest CPA request,"Date of EB decision (see EB59 Annex 12, §25)",Registered or rejected,Simplified project status,Website project status,Type of crediting period,Start of first crediting period,End of first crediting period, Amount Of Reductions (PDD ex-ante) per year in CP1 (PoA based on the sum of curr ,Status of the second CP request,Second crediting period: renew date,Second crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP2 ,Start of Second crediting period,End of second crediting period,Status of the third CP request,Third crediting period: renew date,Third crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP3 ,Start of third crediting period,End of third crediting period,List of host countries (ISO 2),UNFCCC region,LDC country,Country Region,SID country,Country subregion,First issuance,Lastest issuance, Total CERs issued , Count of issuances of CER , Count of issuances of CER for KP1 , Total CERs issued for KP1 , Count of issuances of CER for KP2 , Total CERs issued for KP2 , Installed capacity (MW elec/thermal) ,Kind of additional revenue, Total capital investment (USD) , Total O&M costs (USD/year) , Additional revenue (USD) , Estimated IRR benchmark , Estimated IRR excluding CERs , Estimated IRR including CERs ,Issuance (Para 218)/ Registration (Para 219),Last information provided on para. 218 and 219 of the PCP,Date of last information provided on Para. 218 and 219 of the PCP,Number of CPAs per host party (PoA),Amount of reduction per host party (PoA),Crediting type of the CPAs,Chronological number of registered CDM activity by country,Last communication with the Secretariat,Projects which cannot be renewed,Reporting date
109,Y28176UCRO1E8UOAJQYOBU65WLZID3,"24 MW Biomass Based Renewable Electricity Generation & Consumption in Ropar, Punjab, India",PA,LARGE,1,AM0004 2.0,Biomass Energy,Agricultural residues: rice husk,RWTÜV GmbH,23-05-05,12-10-05,12-10-05,17-12-05,17-12-05,End of crediting period,Registered,Fixed,01-01-05,31-12-14,"25,937",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,28-03-07,28-03-07,"18,089",1,1,"18,089",, -   ,24,None,"15,900,000",,,,,,,,,,,,IN(14),2007m3,No,10-Oct-24
111,MULVVLP8228VBX93YGS901J9EY4WI5,"18 MW Biomass Power Project in Tamilnadu, India",PA,LARGE,1,AM0004 2.0,Biomass Energy,Forest residues: other,Det Norske Veritas- CUK,13-04-04,20-10-05,20-10-05,24-12-05,24-12-05,End of crediting period,Registered,Fixed,01-10-04,30-09-14,"66,821",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,20-05-08,11-09-15,"285,099",3,3,"281,822",1,"3,277",18,None,"11,800,000",,,,,,,,,,,,IN(15),2017m9,No,10-Oct-24
112,QZV41NGP0GX5FB7CG96YYAITQB58TD,Nagda Hills Wind Energy Project (India),PA,SMALL,1,AMS-I.D. 6.0,Wind,Wind,RWTÜV GmbH,03-10-05,23-12-05,23-12-05,19-02-06,19-02-06,End of crediting period,Registered,Renewable,01-07-04,30-06-11,"11,120",Renewed,07-10-11,10-10-11,"12,678.00",01-07-11,30-06-18,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,04-09-06,31-05-13,"71,821",6,6,"71,821",, -   ,6.25,None,"6,091,591",,,12.4,9.8,13.5,,,,,,,IN(24),2013m5,Yes,10-Oct-24
113,KBEAAIUENXJI3F868SDFBAKCCA7057,JCT Phagwara Small Scale Biomass Project,PA,SMALL,1,AMS-I.D. 6.0,Biomass Energy,Agricultural residues: rice husk,TÜV SÜD South Asia Private Limited (TÜV SÜD),06-07-05,13-10-05,13-10-05,03-12-05,03-12-05,End of crediting period,Registered,Fixed,01-01-06,31-12-15,"27,087",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,29-08-07,09-08-13,"79,884",5,5,"79,884",, -   ,5.5,None,"2,492,918",,,,,,,,,,,,IN(9),2024m4,No,10-Oct-24
115,YL3CYU9HUXW76LEKIZMWMCVJF1G9E1,GHG emission reduction by thermal oxidation of HFC 23 at refrigerant (HCFC-22) manufacturing facility of SRF Ltd,PA,LARGE,11,AM0001 3.0,HFCs,HFC23,RINA Services S.p.A. (RINA),06-06-05,21-10-05,21-10-05,24-12-05,24-12-05,End of crediting period,Registered,Fixed,01-07-04,30-06-14,"3,833,566",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,16-01-06,15-03-13,"29,688,497",28,28,"29,688,497",, -   ,,None,,,,,,,Issuance Process,The verification contract has been terminated,19-11-14,,,,IN(16),2022m11,No,10-Oct-24
117,H1YOFN0TB7QCVQGXN2MU29ISC8PR3U,3.5 MW Rice Husk based Cogeneration Project at Nahar Spinning Mills Ltd.,PA,SMALL,1,AMS-I.C. 6.0,Biomass Energy,Agricultural residues: rice husk,Det Norske Veritas- CUK,07-05-05,04-11-05,04-11-05,11-12-05,11-12-05,End of crediting period,Registered,Fixed,10-12-05,09-12-15,"22,267",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,12-01-07,03-01-23,"130,694",8,8,"92,044",1,"38,650",3.5,None,,,,,,,,,,,,,IN(11),2023m1,No,10-Oct-24
118,Y2YKMQ69FOVLCP0I1P3U2890YF8TPO,3.5 MW Rice Husk based Cogeneration Project at Oswal Woolen Mills Ltd.,PA,SMALL,1,AMS-I.C. 6.0,Biomass Energy,Agricultural residues: rice husk,Det Norske Veritas- CUK,07-05-05,04-11-05,04-11-05,16-12-05,16-12-05,End of crediting period,Registered,Fixed,10-12-05,09-12-15,"22,267",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,16-10-06,12-01-23,"177,310",8,8,"121,636",1,"55,674",3.5,None,,,,,,,,,,,,,IN(13),2023m1,No,10-Oct-24
121,E6TEOOEF3MAN4SKPFNYJ3QRQZ69LWR,Bagepalli CDM Biogas Programme,PA,SMALL,1,AMS-I.C. 5.0,Methane avoidance,Domestic manure,Det Norske Veritas- CUK,18-06-05,03-11-05,03-11-05,10-12-05,10-12-05,Registered with issuances,Registered,Renewable,01-09-06,31-08-13,"19,553",Renewed,15-11-13,15-11-13,"18,645.00",01-09-13,31-08-20,Renewed,29-10-20,29-10-20,"13,519.00",01-09-20,31-08-27,IN,"ASP,NAI",No,Asia,No,Southern Asia,18-01-08,14-04-21,"203,584",7,4,"101,541",4,"102,043",,None,,,,,,,Registration Process,Operating under CDM,01-07-18,,,,IN(10),2021m4,No,10-Oct-24
123,D2OV6Q383NCY97WEJE3CKI5P40A66N,Energy efficiency through installation of modified CO2 removal system in Ammonia Plant,PA,LARGE,3,AM0018 1.1,EE Industry,Chemicals,TÜV Rheinland (China) Ltd. (TÜV Rheinland),13-06-05,07-11-05,07-11-05,14-01-06,14-01-06,End of crediting period,Registered,Fixed,01-08-03,31-07-13,"24,449",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,10-03-06,24-06-16,"183,449",9,9,"175,711",1,"7,738",,None,,,,,,,,,,,,,IN(19),2016m6,No,10-Oct-24
124,GSK83GM9BH5QX6JC1XUQ7HAET24Q1Q,"Methane Extraction and Fuel Conservation Project at Tamil Nadu Newsprint and Paper Limited (TNPL), Kagithapuram, Karur District, Tamil Nadu",PA,LARGE,13,AM0013 2.0,Methane avoidance,Waste water,Det Norske Veritas- CUK,17-06-05,07-11-05,07-11-05,14-01-06,14-01-06,End of crediting period,Registered,Fixed,01-08-03,31-07-13,"35,860",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,24-04-06,01-03-13,"253,901",4,4,"253,901",, -   ,,None,"1,078,573",,,,,,Issuance Process,Corrective actions without response,13-04-23,,,,IN(18),2023m4,No,10-Oct-24
