ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
706,51 MW Wind Power Project at Chitradurga,M/s. NSL Renewable Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"127,993",Asia,2020-04-06,2018-06-06,2028-06-05
1315,Biomass based cogeneration plant at Godrej Agrovet Ltd. Chintampalli,Godrej Agrovet Limited,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,"86,509",Asia,2014-08-14,,
1539,Gangakhed Sugar & Energy Private Ltd (GSEPL) 30 MW Bagasse Based Co-generation Power Project,Gangakhed Sugar & Energy Private Limited (GSEPL),Energy industries (renewable/non-renewable sources),,ACM0006,Registered,India,"64,480",Asia,2020-04-06,,
1337,AAC blocks manufacturing unit based on an energy efficient brick/block manufacturing technology by Biltech Building Elements (surat),Biltech Building Elemnts Limited,Manufacturing industries,,AMS-III.Z,Registered,India,"23,054",Asia,2020-04-06,,
1026,Solar Power Plant of 5 MW in Rajasthan by Essel Mining and Refex Refrigerants Limited,Essel Mining & Industries Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"8,706",Asia,2013-09-26,,
93,86 MW Hydro Project in Himachal Pradesh,Malana Power Company Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"251,283",Asia,2020-04-06,2001-07-05,2031-07-04
1020,Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited,Palace Solar Energy Private Limited.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"23,072",Asia,2020-04-06,,
1525,Wind power project at Jaibhim by SIIL,Serum Institute of India Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"52,898",Asia,2020-04-06,,
1526,Wind energy project in different locations of India,Evergreen Ecotech Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"258,767",Asia,2022-01-04,,
1521,Wind Based Power Generation by Mytrah Energy (India) Limited (EKIESL-VCS-January-16-01),JSW NEO ENERGY LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"479,448",Asia,2020-04-06,,
173,Vishnuprayag Hydro-electric Project (VHEP) by Jaiprakash Power Ventures Ltd.(JPVL),Jaiprakash Power Ventures Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"1,468,106",Asia,2020-04-06,,
910,"Wind energy project in Samana, Gujarat and Saundatti, Karnataka",Apraava Renewable Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"105,736",Asia,2020-04-06,2020-06-23,2030-06-22
1520,"Wind Project in Maharashtra, India by Kayathar and Jath",M/s NSL Wind Power Company (Kayathar) Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"118,598",Asia,2020-04-06,,
1519,"Satara Wind Power Project in Maharashtra, India",NSL Wind Power Company (Satara) Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"51,335",Asia,2020-04-06,,
1303,Biomass based Renewable Energy Generation at Karnal,Modern Dairies Limited,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,"47,043",Asia,2022-05-12,2022-10-03,2032-10-02
1497,VCS Grouped Project for Renewable Power Generation by Essel Mining and Industries Limited,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002; AMS-I.D.; AMS-I.F.,Registered,India,"247,123",Asia,2020-04-06,,
1495,Selco Clean Energy Products Grouped Project,Selco Solar Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.J; AMS-I.F.; AMS-III.AR,Registered,India,"34,551",Asia,2015-12-07,,
1342,"AAC Block/Panel Manufacturing unit at Krishna, Andhra Pradesh",Multiple Proponents,Manufacturing industries,,AMS-III.Z,Registered,India,"56,107",Asia,2015-09-15,,
1424,Uri II Hydroelectric Project,NHPC Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"1,048,427",Asia,2016-03-17,,
1425,Parbati Hydroelectric Project Stage III,NHPC Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"708,572",Asia,2016-03-17,,
1423,"Teesta Low Dam Project, Stage-IV",NHPC Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"696,816",Asia,2016-03-17,2016-02-14,2026-02-13
1338,AAC blocks manufacturing unit based on an energy efficient brick/block manufacturing technology by Biltech Building Elements (Budge-Budge),Biltech Building Elemnts Limited,Manufacturing industries,,AMS-III.Z,Registered,India,"34,208",Asia,2020-04-06,,
