Regime,count,mean,std,median,min,max,pct_over,pct_under
CDM,499,0.08441879569431092,0.7530000244307102,0.0069927981465442,-1.7188419862204385,5.904794402271753,50.50100200400801,49.498997995991985
VCS,293,-0.6059543644266212,1.6764736684155745,-0.18757167,-11.27567232,2.19093615,27.986348122866893,72.01365187713311
