,Biomass and Waste_coef,Biomass and Waste_pval,Other Renewable_coef,Other Renewable_pval,Other_coef,Other_pval,Hydro_coef,Hydro_pval,Wind_coef,Wind_pval
Intercept,-5.641410635368612,2.665809655119937e-20,-1.2980094881036157,0.00012508124126761155,-0.3158035976232825,0.005797943992590095,0.35444216781126725,6.615911796706763e-10,0.3889177695325886,2.1280174649483746e-57
log_t_actual_years,-0.4721421834076217,7.820331406984938e-06,0.37816880352395915,0.027501817702404074,0.1392571812207144,0.2265180376281168,-0.5525173544613353,1.5063863619559032e-10,-0.6992453661635595,2.7878469504543136e-68
Scale_Large,-0.2664081210844191,0.2968715653329579,-3.1406674863337523e-18,0.9954533005499413,-0.3158035976232824,0.0057979439925901185,-0.21139832684644352,0.11394698424018954,0.10401496679343436,0.04735458811776072
Is_International,5.182586698299577,3.4321463891427835e-09,0.5184460501993882,0.27650044176456756,0.447536084670958,0.33494128839208726,0.35444216781126714,6.615911796706739e-10,0.3889177695325885,2.1280174649485257e-57
Is_CDM,1.2203567920985119,0.0673000784496861,0.6007794703890372,0.25648083238768166,-0.10929476118799053,0.816819475250653,0.35444216781126714,6.615911796706739e-10,0.3889177695325885,2.1280174649483746e-57
