ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Total_Actual_VCUs_Issued,Actual_Issuance_Start_Date,Actual_Issuance_End_Date,t_actual_days,t_actual_years,Total_Estimated_ERs_Actual_Period,q_quotient,log_q_success_indicator,Regime,Technology_Category,Tech_Biomass and Waste,Tech_Energy Efficiency,Tech_Other Renewable,Scale_Category,Scale_Large,Is_International
733,Biomass based steam generation project by Gujarat Ambuja Exports Ltd.,Gujarat Ambuja Exports Limited,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,45523,Asia,06-04-20,,,175826,04-01-08,31-12-17,3649,9.990417522,454793.7769,0.386605994,-0.950349209,VCS,Other Renewable,False,False,True,Small Scale,0,0
2242,Installation of wind power project in Rajasthan and Tamil Nadu,Wind Urja India Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,92328,Asia,05-01-21,01-04-16,31-03-26,249703,04-01-16,31-10-19,1396,3.822039699,352881.2813,0.707611917,-0.345859475,VCS,Other,False,False,False,Large Scale,1,0
2243,"Wind power project in Madhya Pradesh, India",Ratedi Wind Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,40546,Asia,09-02-21,25-08-16,24-08-26,125737,01-01-17,31-10-19,1033,2.828199863,114672.1916,1.096490772,0.092114873,VCS,Other,False,False,False,Large Scale,1,0
2244,Lalpur wind farm in Gujarat,Tadas Wind Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,99859,Asia,14-01-21,,,275169,10-01-16,31-10-19,1390,3.805612594,380024.668,0.724081943,-0.322850712,VCS,Other,False,False,False,Large Scale,1,0
2245,"Wind power project in Rajasthan, India",Ratedi Wind Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,40546,Asia,14-01-21,01-07-18,30-06-28,54223,07-01-18,31-10-19,662,1.812457221,73487.89049,0.737849456,-0.304015465,VCS,Other,False,False,False,Large Scale,1,0
2248,Wind energy project by LWEPL-1,Lalpur Wind Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,101865,Asia,25-11-20,01-01-17,31-12-26,295277,01-01-17,31-10-19,1033,2.828199863,288094.5791,1.024930774,0.024625073,VCS,Other,False,False,False,Large Scale,1,0
2069,Greenfield Solar Power Mission by Fortum India,Fortum India Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,412674,Asia,06-12-20,19-03-21,18-03-31,1803998,01-01-22,30-06-24,911,2.494182067,1029284.09,1.752672578,0.56114181,VCS,Other,False,False,False,Large Scale,1,0
2065,Renewable Energy Power Projects by Atria Power,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,314814,Asia,17-04-20,25-01-18,24-01-28,1009638,01-01-19,31-12-22,1460,3.997262149,1258394.086,0.802322588,-0.220244523,VCS,Other,False,False,False,Large Scale,1,0
2058,50MW Greenfield Solar Plant in UP by Jakson Group,Jakson Power Pvt. Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,85873,Asia,27-07-21,01-07-21,30-06-31,50186,07-01-21,31-03-22,448,1.226557153,105328.1424,0.476472848,-0.741344539,VCS,Other,False,False,False,Large Scale,1,0
2059,Renewable Solar Power Project by Mahindra Renewables Private Limited,Mahindra Renewables Private Limited.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,389911,Asia,12-05-22,06-07-18,05-07-28,1355158,07-06-18,30-04-22,1423,3.89596167,1519078.311,0.892092258,-0.114185724,VCS,Other,False,False,False,Large Scale,1,0
2052,Renewable Wind Power Project by Axis Wind Farms (Rayalaseema) Pvt. Ltd,Axis Wind Farms (Rayalaseema) Pvt. Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,202492,Asia,20-08-20,02-03-18,01-03-28,923672,03-02-18,30-09-22,1700,4.654346338,942467.8987,0.980056723,-0.020144829,VCS,Other,False,False,False,Large Scale,1,0
2042,Renewable Wind Power Project by Adani,Adani Green Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,172333,Asia,24-03-21,29-06-19,28-06-29,1376160,01-01-20,31-08-23,1338,3.663244353,631297.8891,2.17989007,0.779274449,VCS,Other,False,False,False,Large Scale,1,0
2033,3.5 MW Small Hydro Project In Himachal Pradesh,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,14462,Asia,23-08-20,23-02-18,22-02-28,45316,01-01-19,31-07-22,1307,3.578370979,51750.4011,0.875664711,-0.132772012,VCS,Other Renewable,False,False,True,Small Scale,0,0
2038,Energising Indian homes by Solar rooftop projects,Azure Power India Pvt ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,140874,Asia,12-04-21,28-12-17,27-12-27,68935,01-01-18,30-11-19,698,1.911019849,269213.0103,0.256061176,-1.362338894,VCS,Other,False,False,False,Large Scale,1,0
2023,Renewable Solar Power Project By Rishabh Renergy,Rishabh Renergy Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,23089,Asia,12-07-21,28-03-18,27-03-28,47877,01-01-19,30-06-21,911,2.494182067,57588.16975,0.831368668,-0.184681938,VCS,Other Renewable,False,False,True,Small Scale,0,0
2026,Allain Duhangan Hydroelectric Project (ADHP),AD Hydro Power Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,494668,Asia,28-01-21,,,1535217,10-01-16,30-09-19,1359,3.72073922,1840530.628,0.834116519,-0.181382176,VCS,Other,False,False,False,Large Scale,1,0
2017,Karnataka Pavagada-II Solar Project by Avaada (150 MW),Avaada Solarise Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,305870,Asia,18-11-20,08-11-19,07-11-29,522568,11-08-19,31-08-21,751,2.056125941,628907.2416,0.830914268,-0.185228657,VCS,Other,False,False,False,Large Scale,1,0
2019,"100 MW grid connected Wind Power project in Jamnagar Gujarat, India",Verdant Renewables Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,363796,Asia,03-11-22,21-06-19,20-06-29,1059054,01-01-20,31-03-23,1185,3.244353183,1180282.71,0.897288413,-0.108377938,VCS,Other,False,False,False,Large Scale,1,0
2020,250 MW Wind Power Project by Mytrah Energy,M/s Mytrah Vayu (Sabarmati) Pvt. Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,506370,Asia,24-12-19,30-01-19,29-01-29,1853869,12-01-19,30-06-23,1630,4.462696783,2259775.77,0.820377413,-0.197990785,VCS,Other,False,False,False,Large Scale,1,0
1993,Bundled Wind Power project in Koppal Karnataka,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,266634,Asia,25-06-20,02-03-18,01-03-28,1289542,01-01-19,31-12-22,1460,3.997262149,1065805.996,1.209921885,0.1905558,VCS,Other,False,False,False,Large Scale,1,0
1985,"100 MW Bundled Wind Power Project in Anantapuram, Andhra Pradesh",Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,192849,Asia,07-02-20,22-03-18,21-03-28,307114,01-01-19,31-12-22,1460,3.997262149,770868.0082,0.398400241,-0.920298149,VCS,Other,False,False,False,Large Scale,1,0
1990,"40MW Bundled Solar Project in Telangana, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,79241,Asia,16-03-20,22-12-17,21-12-27,378107,01-01-18,31-12-22,1825,4.996577687,395933.8125,0.954975271,-0.046069833,VCS,Other,False,False,False,Large Scale,1,0
1981,"Waste Heat Recovery Power Project at JK Cement Works (Unit of JK Cement Limited), Nimbahera, Chittorgarh, Rajasthan",JK Cement Ltd. (JKCL),Energy industries (renewable/non-renewable sources),,ACM0012,Registered,India,70796,Asia,16-03-22,,,221401,04-01-12,31-03-18,2278,6.236824093,441542.1985,0.501426592,-0.690298058,VCS,Other,False,False,False,Large Scale,1,1
1976,Renewable Solar Power Project by Shapoorji Pallonji,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,432770,Asia,23-08-20,08-04-18,07-04-28,1178056,01-01-19,30-09-21,1003,2.746064339,1188414.264,0.991283962,-0.008754245,VCS,Other,False,False,False,Large Scale,1,0
1968,Grid Connected Wind Energy Project in Gujarat,Apraava Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,759489,Asia,08-05-20,07-04-23,06-04-33,254468,04-07-23,31-12-23,180,0.492813142,374286.1602,0.679875526,-0.385845548,VCS,Other,False,False,False,Large Scale,1,0
1946,Renewable Wind Power Project by Hero Future Energies,Hero Future Energies Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,50140,Asia,09-09-19,29-12-17,28-12-27,225066,10-01-19,30-06-22,1267,3.468856947,173928.4873,1.294014589,0.25774947,VCS,Other,False,False,False,Large Scale,1,0
1941,Sustainable City Projects at India’s Cleanest City- Indore,Indore Smart City Development Ltd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0002; ACM0022,Registered,India,283396,Asia,26-08-19,12-10-17,11-10-27,339834,10-12-17,31-12-20,1117,3.058179329,866675.7892,0.392112026,-0.936207698,VCS,Biomass and Waste,True,False,False,Large Scale,1,1
1934,"Patikari Hydro Electric Power Project in Distt-Mandi, Himachal Pradesh, India",Patikari Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,58583,Asia,15-06-20,,,257116,11-01-12,17-01-18,2198,6.01779603,352540.5448,0.729323205,-0.315638292,VCS,Other,False,False,False,Large Scale,1,0
1931,Energising India using Solar Energy Projects,Azure Power India Pvt ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,684229,Asia,26-11-19,19-09-17,18-09-27,3470882,01-01-18,30-09-22,1733,4.744695414,3246458.198,1.069128813,0.066844123,VCS,Other,False,False,False,Large Scale,1,0
1920,24.45 MW Biomass based project in Punjab,Satia Industries Limited,Energy industries (renewable/non-renewable sources),,ACM0006,Registered,India,208613,Asia,17-09-19,15-09-17,14-09-27,157173,01-01-18,31-12-20,1095,2.997946612,625410.6366,0.251311684,-1.381061343,VCS,Other,False,False,False,Large Scale,1,0
1914,150 MW Solar Project in Karnataka by Avaada Solar,Avaada Solar Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,319470,Asia,08-05-20,20-12-18,19-12-28,753847,06-01-19,31-08-21,968,2.650239562,846672.0329,0.890364829,-0.11612398,VCS,Other,False,False,False,Large Scale,1,0
1904,Wind Power Project in Tamil Nadu by Green Infra Renewable Energy Limited,Green Infra Renewable Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,707515,Asia,07-09-20,08-10-18,07-10-28,3769179,10-08-18,31-08-24,2213,6.058863792,4286737.016,0.879265275,-0.128668635,VCS,Other,False,False,False,Large Scale,1,0
1893,"18 MW Kemphole Mini Hydel Scheme (KMHS), by International Power Corporation Limited, India",International Power Corporation Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,44548,Asia,29-07-19,,,220652,12-01-14,30-09-21,2818,7.715263518,343699.5592,0.641990931,-0.443181102,VCS,Other,False,False,False,Large Scale,1,0
